__time,/amcl_cov/data,/amcl_error/data,/amcl_num_particles/data
1686072802.141166,0.343687505,0.122633800,526.000000000
1686072802.533423,0.319529831,0.122527190,462.000000000
1686072802.925639,0.330404907,0.122422896,836.000000000
1686072803.317960,0.312020212,0.122321494,714.000000000
1686072803.720235,,0.122229621,
1686072803.730294,0.301012874,,775.000000000
1686072804.132655,,0.122139201,
1686072804.142719,0.290976852,,714.000000000
1686072804.545009,0.291834027,0.122043706,526.000000000
1686072804.937245,0.274635732,0.121942550,328.000000000
1686072805.349588,0.304653347,0.121866234,258.000000000
1686072805.741811,0.260001183,0.121802129,101.000000000
1686072806.174324,0.242795199,0.121741131,396.000000000
1686072806.556500,0.251034498,0.121687405,526.000000000
1686072807.039313,0.256742865,0.121629640,526.000000000
1686072807.351042,0.297320724,0.121579893,590.000000000
1686072807.743345,,0.121518433,
1686072807.753460,0.278018683,,526.000000000
1686072808.155797,0.285411566,0.121452995,462.000000000
1686072808.608447,0.224146158,0.121374972,526.000000000
1686072808.970550,,0.121302530,
1686072808.980593,0.281540126,,526.000000000
1686072809.402975,,0.121240459,
1686072809.413034,0.316400468,,652.000000000
1686072809.745006,,0.121178001,
1686072809.755064,0.299433142,,714.000000000
1686072810.187613,0.343824267,0.121119671,714.000000000
1686072810.569832,0.309180439,0.121041074,526.000000000
1686072810.992282,0.289192021,0.120954171,396.000000000
1686072811.374513,0.314729989,0.120858744,590.000000000
1686072811.756711,0.298892379,0.120758846,714.000000000
1686072812.219272,0.311819375,0.120625317,775.000000000
1686072812.581254,,0.120494947,
1686072812.591311,0.303936034,,526.000000000
1686072812.933168,,0.120386116,
1686072812.943225,0.249922216,,526.000000000
1686072813.345514,0.267654926,0.120250687,526.000000000
1686072813.738156,0.250502020,0.120120391,396.000000000
1686072814.160598,0.277895302,0.119967610,396.000000000
1686072814.542866,0.317563057,0.119815208,328.000000000
1686072814.975350,0.315501690,0.119644627,526.000000000
1686072815.337490,,0.119482972,
1686072815.347551,0.304120034,,526.000000000
1686072815.739833,0.335901946,0.119348504,396.000000000
1686072816.142153,0.241829976,0.119209774,526.000000000
1686072816.564643,0.300582826,0.119080812,328.000000000
1686072816.946888,0.306817949,0.118967742,462.000000000
1686072817.359300,,0.118846416,
1686072817.369362,0.293695301,,396.000000000
1686072817.771687,0.324500024,0.118734628,396.000000000
1686072818.153859,0.360659748,0.118619733,462.000000000
1686072818.576293,,0.118507296,
1686072818.586353,0.301053286,,396.000000000
1686072818.958444,0.319848597,0.118405245,462.000000000
1686072819.360828,0.266018003,0.118308857,526.000000000
1686072819.783297,0.286411285,0.118214794,714.000000000
1686072820.155469,,0.118124671,
1686072820.165531,0.253983438,,652.000000000
1686072820.557734,0.277396202,0.118042730,590.000000000
1686072820.960065,0.316930622,0.117961839,462.000000000
1686072821.362370,0.276426524,0.117900744,396.000000000
1686072821.764645,0.259568423,0.117819272,775.000000000
1686072822.166875,0.282413214,0.117752209,775.000000000
1686072822.569178,0.302686065,0.117694981,652.000000000
1686072822.991604,0.345887870,0.117626920,714.000000000
1686072823.414010,0.291228265,0.117571503,590.000000000
1686072823.796216,0.288876027,0.117516786,526.000000000
1686072824.188480,0.295360953,0.117457509,590.000000000
1686072824.610874,0.299496442,0.117412984,714.000000000
1686072824.973989,0.337535828,0.117374159,714.000000000
1686072825.376350,0.366123348,0.117341094,836.000000000
1686072825.778731,0.280799150,0.117318928,775.000000000
1686072826.191106,0.314538658,0.117300443,714.000000000
1686072826.593404,0.326905459,0.117297292,652.000000000
1686072826.985708,0.312037736,0.117292717,258.000000000
1686072827.388080,0.325012177,0.117277481,328.000000000
1686072827.810479,0.368802577,0.117256202,396.000000000
1686072828.202740,0.320607662,0.117212437,590.000000000
1686072828.584948,,0.117152743,
1686072828.595006,0.417635024,,590.000000000
1686072829.037568,0.460813433,0.117080227,714.000000000
1686072829.419834,0.383706927,0.116990343,714.000000000
1686072829.842177,0.364164174,0.116889074,652.000000000
1686072830.214324,0.374851137,0.116816752,526.000000000
1686072830.596550,0.380799949,0.116748266,328.000000000
1686072831.008928,0.322892278,0.116687141,396.000000000
1686072831.401152,0.315890342,0.116617799,462.000000000
1686072831.813621,0.281829804,0.116562106,526.000000000
1686072832.215950,0.292782217,0.116507545,526.000000000
1686072832.638408,0.282618165,0.116483092,462.000000000
1686072833.010501,0.282741100,0.116448812,328.000000000
1686072833.412828,0.336866528,0.116413519,328.000000000
1686072833.815104,0.362302482,0.116378099,328.000000000
1686072834.257606,0.293556035,0.116338283,328.000000000
1686072834.609631,,0.116297647,
1686072834.619692,0.361660987,,652.000000000
1686072835.042072,,0.116253860,
1686072835.052138,0.295063972,,775.000000000
1686072835.434367,0.334609210,0.116207458,836.000000000
1686072835.836669,0.338386118,0.116158031,836.000000000
1686072836.248910,0.377775490,0.116102472,590.000000000
1686072836.651232,0.274761111,0.116045848,258.000000000
1686072837.053522,0.286873817,0.115953602,258.000000000
1686072837.465865,0.298529685,0.115866393,101.000000000
1686072837.878240,,0.115783989,
1686072837.888299,0.320944786,,328.000000000
1686072838.270509,0.297352761,0.115715288,396.000000000
1686072838.672724,0.247783154,0.115649432,590.000000000
1686072839.054870,0.301870912,0.115598537,775.000000000
1686072839.467227,0.300389051,0.115548722,775.000000000
1686072840.070653,0.338053048,0.115506455,652.000000000
1686072840.483375,0.296814084,0.115460277,462.000000000
1686072840.855469,0.285375357,0.115425728,183.000000000
1686072841.287963,0.306621999,0.115385570,258.000000000
1686072841.680240,0.307790190,0.115364254,396.000000000
1686072842.062458,,0.115353689,
1686072842.072519,0.325290829,,652.000000000
1686072842.464713,,0.115356930,
1686072842.474774,0.321704894,,836.000000000
1686072842.836819,,0.115355611,
1686072842.846874,0.310880184,,775.000000000
1686072843.238972,0.301451325,0.115359232,652.000000000
1686072843.661360,0.280856758,0.115370572,526.000000000
1686072844.063704,0.308791429,0.115377560,462.000000000
1686072844.465948,0.322695553,0.115382269,714.000000000
1686072844.838029,,0.115376435,
1686072844.848091,0.301953852,,714.000000000
1686072845.280493,0.292600691,0.115356535,836.000000000
1686072845.662706,0.304628462,0.115361772,714.000000000
1686072846.085150,0.310110897,0.115354143,652.000000000
1686072846.477322,0.364526719,0.115356617,462.000000000
1686072846.909823,0.336737931,0.115355335,590.000000000
1686072847.281901,,0.115356199,
1686072847.291961,0.382563561,,775.000000000
1686072847.664112,0.367083937,0.115366518,775.000000000
1686072848.096593,0.324582130,0.115363181,775.000000000
1686072848.488825,0.377647817,0.115374848,836.000000000
1686072848.931487,0.343987405,0.115367636,836.000000000
1686072849.293542,0.330729425,0.115373455,836.000000000
1686072849.695887,0.267904192,0.115383297,590.000000000
1686072850.078155,0.305344731,0.115404531,590.000000000
1686072850.480495,0.341328412,0.115429632,462.000000000
1686072850.882767,0.224590048,0.115449682,396.000000000
1686072851.275004,,0.115480512,
1686072851.285067,0.255464852,,526.000000000
1686072851.677301,0.276835531,0.115533754,526.000000000
1686072852.069498,0.342281282,0.115594774,775.000000000
1686072852.471824,0.262994915,0.115653709,714.000000000
1686072852.874166,,0.115696870,
1686072852.884228,0.295391679,,590.000000000
1686072853.306648,0.228213102,0.115738757,396.000000000
1686072853.688876,0.230713710,0.115779266,526.000000000
1686072854.081142,0.232123286,0.115819275,590.000000000
1686072854.513614,,0.115868308,
1686072854.523673,0.285600603,,652.000000000
1686072854.905849,0.297774345,0.115904011,526.000000000
1686072855.318198,0.327170610,0.115943305,328.000000000
1686072855.740664,0.303760141,0.115968406,328.000000000
1686072856.132879,0.282843828,0.115996577,258.000000000
1686072856.535212,0.315487027,0.116019920,462.000000000
1686072856.917449,,0.116064392,
1686072856.927565,0.258352131,,526.000000000
1686072857.309764,0.269166261,0.116116814,526.000000000
1686072857.712025,,0.116159245,
1686072857.722084,0.268285990,,526.000000000
1686072858.124341,0.275726527,0.116219774,328.000000000
1686072858.546722,0.281427294,0.116280355,526.000000000
1686072858.908812,,0.116342194,
1686072858.918873,0.260160178,,462.000000000
1686072859.341295,0.280744523,0.116413854,462.000000000
1686072859.703333,0.306747854,0.116497524,526.000000000
1686072860.135785,0.326290488,0.116579071,462.000000000
1686072860.578363,0.292057872,0.116662435,328.000000000
1686072860.890155,,0.116768926,
1686072860.900213,0.228274480,,258.000000000
1686072861.292456,,0.116889089,
1686072861.302515,0.223861232,,328.000000000
1686072861.694737,0.237664014,0.117008366,526.000000000
1686072862.107100,,0.117146432,
1686072862.117190,0.224383935,,396.000000000
1686072862.499314,0.238433555,0.117290042,590.000000000
1686072862.961955,0.255918771,0.117448173,652.000000000
1686072863.303991,,0.117607616,
1686072863.314050,0.310056895,,590.000000000
1686072863.726434,0.310471803,0.117771842,396.000000000
1686072864.138844,0.312033594,0.117949829,714.000000000
1686072864.531104,0.312573999,0.118132032,775.000000000
1686072864.943411,0.299290270,0.118326627,836.000000000
1686072865.345644,,0.118527345,
1686072865.355703,0.286775947,,775.000000000
1686072865.798219,,0.118738472,
1686072865.808281,0.271547675,,590.000000000
1686072866.170341,0.319006622,0.118958056,328.000000000
1686072866.542398,0.317110658,0.119192116,258.000000000
1686072866.944626,0.335412234,0.119419672,462.000000000
1686072867.377008,0.338228643,0.119666219,462.000000000
1686072867.789408,0.316234738,0.119932465,396.000000000
1686072868.161520,0.285339177,0.120204121,396.000000000
1686072868.563931,0.275179833,0.120501444,462.000000000
1686072868.966245,0.291739702,0.120785140,258.000000000
1686072869.358486,0.299467146,0.121071443,328.000000000
1686072869.740594,,0.121354066,
1686072869.750654,0.292509019,,526.000000000
1686072870.132782,0.355243206,0.121634863,714.000000000
1686072870.575355,0.263218760,0.121910654,652.000000000
1686072870.977628,0.282803267,0.122182630,652.000000000
1686072871.379862,,0.122457594,
1686072871.389919,0.297593147,,652.000000000
1686072871.762063,0.262506396,0.122743890,396.000000000
1686072872.174423,0.289962769,0.123025507,328.000000000
1686072872.556597,0.294717520,0.123301171,328.000000000
1686072872.948863,0.274419367,0.123575978,396.000000000
1686072873.341072,0.262931377,0.123856023,714.000000000
1686072873.733229,,0.124136545,
1686072873.743286,0.290332586,,714.000000000
1686072874.135420,0.283981264,0.124428190,896.000000000
1686072874.537664,0.301988035,0.124721304,652.000000000
1686072874.950001,0.260380507,0.125016779,526.000000000
1686072875.342223,0.263140321,0.125320435,462.000000000
1686072875.774767,0.270386428,0.125624031,590.000000000
1686072876.146796,,0.125932828,
1686072876.156857,0.323394299,,714.000000000
1686072876.619573,0.317295671,0.126221016,526.000000000
